departamento,codigodanedepartamento,municipio,codigodanemunicipio,tipoarea,sitio,ano,mes,rangoedad,grupoetnico,condicion,estado,genero,latitudcabecera,longitudcabecera,tipoevento,Ubicación,Actividad
ANTIOQUIA,5,SAN ANDRÉS,5647,Rural,San Miguel,2008,1,Mayor de 18 años,no,Fuerza pública,Hombre,Herido,6.987222,-75.620556,Sin informacion,"(6.987222, -75.620556)",Fuerza pública
ANTIOQUIA,5,SAN ANDRÉS,5647,Rural,San Miguel,2008,1,Mayor de 18 años,no,Fuerza pública,Hombre,Herido,6.987222,-75.620556,Sin informacion,"(6.987222, -75.620556)",Fuerza pública
ANTIOQUIA,5,SAN ANDRÉS,5647,Rural,San Miguel,2008,1,Mayor de 18 años,no,Fuerza pública,Hombre,Herido,6.987222,-75.620556,Sin informacion,"(6.987222, -75.620556)",Fuerza pública
ANTIOQUIA,5,ITUANGO,5361,Rural,Vereda Santa Lucía,2004,10,Mayor de 18 años,no,Fuerza pública,Hombre,Herido,7.324167,-75.814167,Sin informacion,"(7.324167, -75.814167)",Fuerza pública
ANTIOQUIA,5,ITUANGO,5361,Rural,Sector Quebrada San Juan,2008,6,Mayor de 18 años,no,Fuerza pública,Hombre,Herido,7.171637,-75.764403,Sin informacion,"(7.171637, -75.764403)",Fuerza pública
ANTIOQUIA,5,ITUANGO,5361,Rural,Sector Quebrada San Juan,2008,6,Mayor de 18 años,no,Fuerza pública,Hombre,Herido,7.171637,-75.764403,Sin informacion,"(7.171637, -75.764403)",Fuerza pública
ANTIOQUIA,5,ITUANGO,5361,Rural,Sector Quebrada San Juan,2008,6,Mayor de 18 años,no,Fuerza pública,Hombre,Muerto,7.171637,-75.764403,Sin informacion,"(7.171637, -75.764403)",Fuerza pública
ANTIOQUIA,5,ITUANGO,5361,Rural,Sector Quebrada San Juan,2008,6,Mayor de 18 años,no,Fuerza pública,Hombre,Herido,7.171637,-75.764403,Sin informacion,"(7.171637, -75.764403)",Fuerza pública
ANTIOQUIA,5,ITUANGO,5361,Rural,Sector Quebrada San Juan,2008,6,Mayor de 18 años,no,Fuerza pública,Hombre,Herido,7.171637,-75.764403,Sin informacion,"(7.171637, -75.764403)",Fuerza pública
ANTIOQUIA,5,ITUANGO,5361,Rural,Sector Quebrada San Juan,2008,6,Mayor de 18 años,no,Fuerza pública,Hombre,Herido,7.171637,-75.764403,Sin informacion,"(7.171637, -75.764403)",Fuerza pública
